id,legal_name,doing_business_as_name,address,state,city,zip_code,ward,precinct,ward_precinct,police_district,latitude,longitude,location,location_precise,business_activity_array,business_activity_id_array,standardized_activities_array,osm_vicinity,osm_matched,osm_name,osm_activities,google_matched,name,google_address,website,phone_number,business_status
2549249-20211116,"RMC ADAMS-WELLS, LLC",McDONALD'S #4061,186 W ADAMS ST 1ST,IL,CHICAGO,60603,42.0,9.0,42-9,1.0,41.87949996,-87.63335354,"(41.8795, -87.6333535)","(41.87949996011278, -87.63335353982716)","('Sale of Food Prepared Onsite With Dining Area',)","('781',)","('restaurant',)",1630387514,True,McDonald's,['fast_food'],True,McDonald's,180 W Adams St,https://www.mcdonalds.com/us/en-us/location/IL/CHICAGO/180-W-ADAMS/4061.html?cid=RF:YXT:GMB::Clicks,+1 804-384-6346,OPERATIONAL
2506946-20210416,STARBUCKS CORPORATION,STARBUCKS COFFEE #10506,2566 N ELSTON AVE  B,IL,CHICAGO,60647,1.0,39.0,1-39,14.0,41.928129687,-87.682147414,"(41.9281297, -87.6821474)","(41.92812968739979, -87.68214741403298)","('Sale of Food Prepared Onsite With Dining Area',)","('781',)","('restaurant',)",False,False,False,False,True,Starbucks,2656 N Elston Ave,https://www.starbucks.com/store-locator/store/17661,+1 773-252-1994,OPERATIONAL
2808207-20210901,TANYA WAGNER,KIDZ CLOSET BY CONNIE,1210 S INDIANA AVE  4614,IL,CHICAGO,60605,3.0,,3-,,41.867136519,-87.62269374,"(41.8671365, -87.6226937)","(41.867136518731904, -87.62269374006402)","('Online Sales Home Based Business',)","('722',)","('',)",False,False,False,False,False,,,,,
2627688-20220316,1941 NORTH AVE INC.,DORIAN'S,1939-1941 W NORTH AVE 1,IL,CHICAGO,60622,1.0,8.0,1-8,14.0,41.910389745,-87.676658772,"(41.9103897, -87.6766588)","(41.910389744984386, -87.6766587723612)","('Retail Sales of Perishable Foods', 'Consumption of Liquor on Premises', 'Retail Sales of General Merchandise', 'Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee')","('904, 746, 638, 77',)","('food', 'bar', 'store', 'amusement')",6284714257,True,Dorian’s,['restaurant'],True,Dorian’s,1939 W North Ave,http://throughtherecordshop.com/,+1 773-687-9824,OPERATIONAL
2483238-20221016,SAN JOSE AUTOMOTIVE CENTER INC.,SAN JOSE AUTOMOTIVE CENTER INC.,3749 W NORTH AVE 1,IL,CHICAGO,60647,26.0,43.0,26-43,25.0,41.909833682,-87.72114846,"(41.9098337, -87.7211485)","(41.90983368229208, -87.7211484595922)","('Motor Vehicle Repair -  Engine and Transmission Work',)","('712',)","('',)",False,False,False,False,True,San Jose Automotive Center,3749 W North Ave,,+1 773-292-0764,OPERATIONAL
1334278-20220116,"CAPARI, INC.",DUFFY'S PLACE,6355 S CENTRAL AVE,IL,CHICAGO,60638,13.0,49.0,13-49,8.0,41.776417683,-87.761513212,"(41.7764177, -87.7615132)","(41.7764176825641, -87.76151321233951)","('Tavern - Consumption of Liquor on Premise',)","('829',)","('bar',)",False,False,False,False,True,Duffy's Place,6355 S Central Ave,,,OPERATIONAL
2757344-20201023,"BARRY'S BOOTCAMP US, LLC",BARRY'S,1455 N MILWAUKEE AVE,IL,CHICAGO,60622,1.0,,1-,,41.90843729,-87.674208309,"(41.9084373, -87.6742083)","(41.90843728976662, -87.67420830885115)","('Retail Sales of General Merchandise', 'Sale of Food Prepared Onsite Without Dining Area', 'Fitness Classes')","('904, 926, 78',)","('store', 'meal_takeaway', 'gym')",False,False,False,False,True,Barry's Wicker Park,1457 N Milwaukee Ave,https://www.barrys.com/studio/wickerpark/,+1 872-282-2339,OPERATIONAL
2712479-20220216,"IMPERIAL SHOE SERVICES, INC.",IMPERIAL SHOE SERVICES,70 E LAKE ST  68,IL,CHICAGO,60601,42.0,42.0,42-42,1.0,41.885842254,-87.625454996,"(41.8858423, -87.625455)","(41.88584225386183, -87.62545499553204)","('Shoe / Leather Goods Repair', 'Retail Sales of Clothing / Accessories / Shoes')","('911, 80',)","('shoe_store', 'clothing_store')",False,False,False,False,True,Imperial Shoe Services,70 E Lake St,http://www.imperialshoeservices.com/,+1 312-781-0932,OPERATIONAL
1245301-20210716,"CALO LOUNGE, INC.","Calo Lounge, Inc.",5341-5343 N CLARK ST 1,IL,CHICAGO,60640,48.0,43.0,48-43,20.0,41.979225544,-87.668152875,"(41.9792255, -87.6681529)","(41.97922554376137, -87.66815287459343)","('Retail Sales of Perishable Foods', 'Consumption of Liquor on Premises', 'Provides Onsite Amusement or Entertainment')","('743, 638, 77',)","('food', 'bar', 'amusement')",False,False,False,False,True,Calo Ristorante,5343 N Clark St,http://www.calorestaurant.com/,+1 773-271-7782,OPERATIONAL
2762522-20220116,"BUENA VIDA HOME HEALTH AGENCY, INC.",Buena Vida Home Health Agency,5318 W DEVON AVE 1 6,IL,CHICAGO,60646,41.0,,41-,,41.997433239,-87.76159991,"(41.9974332, -87.7615999)","(41.997433238793775, -87.7615999103553)","('Provide Home Health Care Services',)","('464',)","('home',)",False,False,False,False,False,,,,,
2823241-20211222,"ALLIED WASTE TRANSPORTATION, INC.",REPUBLIC SERVICES OF CHICAGO #1177,2608 S DAMEN AVE,IL,CHICAGO,60608,25.0,15.0,25-15,10.0,41.844511469,-87.675788039,"(41.8445115, -87.675788)","(41.844511469065175, -87.67578803912177)","('Private Scavenger - Vehicle',)","('741',)","('car_repair',)",False,False,False,False,True,Republic Services of Chicago,2608 S Damen Ave,http://www.republicservices.com/?utm_source=yext.com&utm_medium=referral&utm_campaign=Yext_Profile_Click_Google&utm_term=376,+1 773-579-3600,OPERATIONAL
2646773-20220916,"REVEL DECOR, INC.",REVEL DECOR,2412 S MICHIGAN AVE 2,IL,CHICAGO,60616,3.0,17.0,3-17,1.0,41.848881976,-87.623851405,"(41.848882, -87.6238514)","(41.84888197590013, -87.62385140455274)","('Administrative Commercial Office',)","('602',)","('administrative_office',)",False,False,False,False,False,,,,,
2803937-20210817,YAA CONNECT LLC,CRICKET WIRELESS,2650 N NARRAGANSETT AVE  C4,IL,CHICAGO,60639,36.0,10.0,36-10,25.0,41.928847223,-87.785781019,"(41.9288472, -87.785781)","(41.928847223323764, -87.78578101920121)","('Retail Sales of Cell Phones and Accessories',)","('922',)","('store',)",7491974634,True,Cricket Wireless,['mobile_phone_shop'],True,Cricket Wireless Authorized Retailer,2650 N Narragansett Ave,https://www.cricketwireless.com/stores/ll/US/IL/Chicago/2650-N-Narragansett-Ave,+1 312-584-1458,OPERATIONAL
2856255-20221007,"W CHICAGO AVE. CHICAGO, LLC",Barcocina,1814 W CHICAGO AVE 1,IL,CHICAGO,60622,1.0,,1-,,41.896090152,-87.672827902,"(41.8960902, -87.6728279)","(41.896090151965005, -87.67282790177187)","('Consumption of Liquor on Premises', 'Preparation of Food and Dining on Premise With Seating', 'Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee')","('746, 638, 73',)","('bar', 'restaurant', 'amusement')",False,False,False,False,True,Barcocina West Town,1814 W Chicago Ave,https://www.barcocinachicago.com/,+1 773-270-4027,OPERATIONAL
2298787-20220616,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,113-125 N GREEN ST BSMT - 6TH,IL,CHICAGO,60607,27.0,1.0,27-1,12.0,41.883557098,-87.648432396,"(41.8835571, -87.6484324)","(41.883557097965046, -87.64843239611488)","('Preparation of Food and Dining on Premise With Seating', 'Beauty Salon, Hair Salon, Nail Salon', 'Provides Onsite Entertainment or Rentals', 'Retail Sales of General Merchandise and Non-Perishable Food', 'Retail Sales of Tobacco Products', 'Consumption of Liquor on Premises', 'Hotel - 7 or More Sleeping Rooms ', 'Catering of Liquor To Events', 'Sale of Liquor Outdoors on Private Property', 'Health Club', 'Provide Full Body Massage Services')","('676, 614, 744, 745, 776, 670, 784, 767, 630, 638, 73',)","('restaurant', 'beauty_salon', 'amusement', 'store', 'tobacco', 'bar', 'liquor_catering', 'liquor_store', 'gym', 'health')",False,False,False,False,True,Soho House Chicago,113-125 N Green St,https://www.sohohouse.com/houses/soho-house-chicago?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,+1 312-521-8000,OPERATIONAL
2184814-20210916,"ALL 4 DIRTY PAWS, INC.","ALL 4 DIRTY PAWS, INC.",4232 N CICERO AVE 1ST,IL,CHICAGO,60641,45.0,7.0,45-7,16.0,41.958025278,-87.747594754,"(41.9580253, -87.7475948)","(41.95802527771329, -87.74759475433692)","('Provide Animal Grooming Services',)","('611',)","('animal_care',)",False,False,False,False,True,All 4 Dirty Paws,4232 N Cicero Ave,http://www.all4dirtypaws.com/,+1 773-853-0783,OPERATIONAL
1574084-20211016,"AL-AMIN GROCERY, INC.",AL-AMIN GROCERY,6403 N ARTESIAN AVE,IL,CHICAGO,60645,50.0,19.0,50-19,24.0,41.997858852,-87.690961935,"(41.9978589, -87.6909619)","(41.997858852381974, -87.69096193468182)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",False,False,False,False,True,Al-Amin Grocery,6403 N Artesian Ave,,+1 773-465-9526,OPERATIONAL
19549-20210216,R M N CORP,R M N CORP,3535 N WESTERN AVE,IL,CHICAGO,60618,47.0,46.0,47-46,19.0,41.945968328,-87.688090003,"(41.9459683, -87.68809)","(41.9459683280605, -87.68809000325967)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",False,False,False,False,False,,,,,
2856811-20220713,LOWEND FAMILY BUSINESS LLC,LOWEND FAMILY BUSINESS,1449 S MICHIGAN AVE 2 485,IL,CHICAGO,60605,3.0,,3-,,41.862736135,-87.623899396,"(41.8627361, -87.6238994)","(41.86273613494158, -87.62389939559147)","('Administrative Commercial Office',)","('602',)","('administrative_office',)",False,False,False,False,True,LowEnd Family Business,1449 S Michigan Ave,,+1 312-210-0980,OPERATIONAL
2564133-20210716,MICHELLE MANNING PAPPAS,RELAXATION STATION,10655 S HALE AVE  1,IL,CHICAGO,60643,19.0,36.0,19-36,22.0,41.6993727,-87.66933263,"(41.6993727, -87.6693326)","(41.69937269957871, -87.66933262982369)","('Provide Full Body Massage Services',)","('745',)","('health',)",False,False,False,False,True,The Relaxation Station Salon & Spa,10655 S Hale Ave,https://www.relaxationstationbeverly.com/,+1 773-366-3189,OPERATIONAL
11613-20211016,"M & I LOUNGE, INC.",M & I LOUNGE,6835 W ADDISON ST  1,IL,CHICAGO,60634,38.0,13.0,38-13,16.0,41.945340519,-87.797415886,"(41.9453405, -87.7974159)","(41.9453405192124, -87.79741588579178)","('Tavern - Consumption of Liquor on Premise',)","('829',)","('bar',)",False,False,False,False,True,M & I Lounge Inc,6835 W Addison St,,+1 773-283-7022,OPERATIONAL
2677919-20210916,Barak Studios LLC,Barak Studios LLC,1111 W CHICAGO AVE  1C,IL,CHICAGO,60642,27.0,,27-,,41.896150787,-87.655799959,"(41.8961508, -87.6558)","(41.89615078732556, -87.65579995878325)","('Tattoo / Permanent Body Art and Make-Up / Micro Blading',)","('828',)","('tattoo_shop',)",False,False,False,False,True,Barak Studios,751 N May St,http://louisbarak.com/,,OPERATIONAL
20925-20210616,SPECIAL TOOL ENGINEERING CO,SPECIAL TOOL ENGINEERING CO,4539 S KNOX AVE  1,IL,CHICAGO,60632,22.0,31.0,22-31,8.0,41.81015188,-87.739424795,"(41.8101519, -87.7394248)","(41.81015187992884, -87.7394247954379)","('Miscellaneous Manufacturing',)","('929',)","('manufacturing',)",False,False,False,False,False,,,,,
2196482-20201116,THE ORIGINAL J & J FISH AND CHICKEN INC.,J&J FISH & CHICKEN,8524 S STONY ISLAND AVE 1ST,IL,CHICAGO,60617,8.0,52.0,8-52,4.0,41.739750482,-87.585856749,"(41.7397505, -87.5858567)","(41.7397504818082, -87.58585674948006)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",False,False,False,False,True,JJ Fish & Chicken on Stony Island,8524 S Stony Is Ave,,+1 773-902-7948,OPERATIONAL
2868760-20220916,V&P FAMILY INC.,V&P LASER HAIR REMOVAL & SKIN CARE,1315-1317 N LARRABEE ST,IL,CHICAGO,60610,27.0,,27-,,41.905523956,-87.643126737,"(41.905524, -87.6431267)","(41.90552395611047, -87.64312673746075)","('Skincare Services',)","('896',)","('beauty_salon',)",False,False,False,False,True,V&P Laser Hair Removal & Skin Care,1317 N Larrabee St,https://vplaserhairremoval.com/,+1 252-557-7113,OPERATIONAL
